"","Invoice.Item.Number","Date","Store.Number","Store.Name","Address","City","Zip.Code","Store.Location","County.Number","County","Category","Category.Name","Vendor.Number","Vendor.Name","Item.Number","Item.Description","Pack","Bottle.Volume..ml.","State.Bottle.Cost","State.Bottle.Retail","Bottles.Sold","Sale..Dolars.","Volume.Sold..Liters.","Volume.Sold..Gallons."
"865","S18706700111","2014-04-30T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1031200,"VODKA FLAVORED",260,"Diageo Americas",41797,"Smirnoff Raspberry Vodka",12,1000,9.25,13.87,2,27.74,2,0.52834410471
"866","S14355800058","2013-09-05T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1022100,"TEQUILA",395,"Proximo",87632,"El Zarco Silver",12,750,7.67,11.5,1,11.5,0.75,0.19812903926
"867","S11520500193","2013-04-08T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1012210,"SINGLE MALT SCOTCH",240,"WILLIAM GRANT AND SONS, INC.",5014,"Glenfiddich 15 Yr Solera Reserva",12,750,32,47.99,2,95.98,1.5,0.39625807853
"868","S17957800012","2014-03-18T00:00:00.000",4103,"Fareway Stores #093 / Ames","3619 STANGE RD","AMES",50010,"3619 STANGE RD
AMES 50010
(-93.645008, 42.057106)",85,"Story",1031080,"VODKA 80 PROOF",421,"Sazerac Co., Inc.",36978,"Nikolai Vodka",6,1750,6.92,10.38,12,124.56,21,5.54761309952
"869","S07903700021","2012-09-24T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1081900,"MISC. AMERICAN CORDIALS & LIQUEURS",434,"Luxco-St Louis",85606,"Paramount Blue Curacao",12,750,3.5,5.25,12,63,9,2.37754847122
"870","S14621800012","2013-09-17T00:00:00.000",4015,"Wal-Mart 0749 / Ames","3015 GRAND AVE","AMES",50010,"3015 GRAND AVE
AMES 50010
(-93.620682, 42.052321)",85,"Story",1031080,"VODKA 80 PROOF",260,"Diageo Americas",37998,"Smirnoff Vodka 80 Prf",6,1750,14.75,22.12,6,132.72,10.5,2.77380654976
"871","S14154400020","2013-08-27T00:00:00.000",4015,"Wal-Mart 0749 / Ames","3015 GRAND AVE","AMES",50010,"3015 GRAND AVE
AMES 50010
(-93.620682, 42.052321)",85,"Story",1011100,"BLENDED WHISKIES",260,"Diageo Americas",25606,"Seagrams 7 Crown Bl Whiskey",12,750,7,10.49,12,125.88,9,2.37754847122
"872","S17427300008","2014-02-19T00:00:00.000",4356,"Kum & Go #396 / Nevada","136 LINCOLN HWY","NEVADA",50201,"136 LINCOLN HWY
NEVADA 50201
(-93.458003, 42.022725)",85,"Story",1062310,"SPICED RUM",259,"Heaven Hill Brands",43028,"Admiral Nelson Spiced Rum",6,1750,11.55,17.32,6,103.92,10.5,2.77380654976
"873","S09401900011","2012-12-10T00:00:00.000",3970,"The Liquor Cabinet, Inc.","835 6 ST, STE 1","NEVADA",50201,"835 6 ST, STE 1
NEVADA 50201
(-93.452277, 42.018948)",85,"Story",1062310,"SPICED RUM",260,"Diageo Americas",43337,"Captain Morgan Spiced Rum",12,1000,11.3,16.94,12,203.28,12,3.17006462829
"874","S20173200033","2014-07-17T00:00:00.000",4987,"Almost Always Open","419 LINCOLN WAY","AMES",50010,"419 LINCOLN WAY
AMES 50010
(-93.616517, 42.022916)",85,"Story",1062310,"SPICED RUM",260,"Diageo Americas",43333,"Captain Morgan Spiced Rum Pet",48,200,2.01,3.02,3,9.06,0.6,0.15850323141
"875","S20642500013","2014-08-13T00:00:00.000",4356,"Kum & Go #396 / Nevada","136 LINCOLN HWY","NEVADA",50201,"136 LINCOLN HWY
NEVADA 50201
(-93.458003, 42.022725)",85,"Story",1031080,"VODKA 80 PROOF",260,"Diageo Americas",37991,"Smirnoff Vodka 80 Prf Mini",12,500,7.47,11.21,1,11.21,0.5,0.13208602617
"876","S20755100109","2014-08-20T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1062300,"FLAVORED RUM",35,"Bacardi U.S.A., Inc.",43051,"Bacardi Dragon Berry",12,750,8.5,12.75,12,153,9,2.37754847122
"877","S05994300035","2012-06-11T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1012100,"CANADIAN WHISKIES",115,"Constellation Wine Company, Inc.",11586,"Black Velvet Reserve",12,750,6.25,9.62,4,38.48,3,0.79251615707
"878","S17628300021","2014-02-26T00:00:00.000",4251,"Aj's Liquor / Ames","4518 MORTENSON RD STE 109","AMES",50014,"4518 MORTENSON RD STE 109
AMES 50014
(NA, NA)",85,"Story",1101100,"AMERICAN ALCOHOL",434,"Luxco-St Louis",41846,"Everclear Alcohol",12,750,8.75,13.13,12,157.56,9,2.37754847122
"879","S22886700020","2014-12-10T00:00:00.000",2609,"Hy-Vee Drugstore #2 / Ames","500 MAIN ST","AMES",50010,"500 MAIN ST
AMES 50010
(-93.618248, 42.024995)",85,"Story",1081312,"BUTTERSCOTCH SCHNAPPS",65,"Jim Beam Brands",82786,"Dekuyper Buttershots Schnapps",12,750,6.3,9.45,2,18.9,1.5,0.39625807853
"880","S09624200004","2012-12-20T00:00:00.000",2609,"Hy-Vee Drugstore #2 / Ames","500 MAIN ST","AMES",50010,"500 MAIN ST
AMES 50010
(-93.618248, 42.024995)",85,"Story",1051010,"AMERICAN GRAPE BRANDIES",115,"Constellation Wine Company, Inc.",53210,"Paul Masson Grande Amber Brandy",48,100,1,1.5,48,72,4.8,1.26802585131
"881","S28595800056","2015-10-21T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1031200,"VODKA FLAVORED",260,"Diageo Americas",77674,"Smirnoff Green Apple",12,750,8.25,12.38,12,148.56,9,2.37754847122
"882","S22575200219","2014-11-24T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1082900,"MISC. IMPORTED CORDIALS & LIQUEURS",192,"Sidney Frank Importing Co.",65258,"Jagermeister Liqueur",6,1750,26.05,39.08,6,234.48,10.5,2.77380654976
"883","S23020500162","2014-12-17T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1062310,"SPICED RUM",240,"WILLIAM GRANT AND SONS, INC.",45886,"Sailor Jerry Spiced Navy Rum",12,750,9.65,14.48,2,28.96,1.5,0.39625807853
"884","S11919900003","2013-04-30T00:00:00.000",4356,"Kum & Go #396 / Nevada","136 LINCOLN HWY","NEVADA",50201,"136 LINCOLN HWY
NEVADA 50201
(-93.458003, 42.022725)",85,"Story",1031080,"VODKA 80 PROOF",434,"Luxco-St Louis",36306,"Hawkeye Vodka",12,750,3.25,4.88,12,58.56,9,2.37754847122
"885","S14363800004","2013-09-05T00:00:00.000",4356,"Kum & Go #396 / Nevada","136 LINCOLN HWY","NEVADA",50201,"136 LINCOLN HWY
NEVADA 50201
(-93.458003, 42.022725)",85,"Story",1011300,"TENNESSEE WHISKIES",85,"Brown-Forman Corporation",26826,"Jack Daniels Old #7 Black Lbl",12,750,14.04,21.05,12,252.6,9,2.37754847122
"886","S22072200010","2014-10-29T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1051010,"AMERICAN GRAPE BRANDIES",205,"E AND J GALLO WINERY",52579,"E & J Vsop Superior Reserve Mini",12,500,5.92,8.88,1,8.88,0.5,0.13208602617
"887","S29286600068","2015-11-23T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1032200,"IMPORTED VODKA - MISC",370,"Pernod Ricard USA/Austin Nichols",34117,"Absolut Mandrin",12,1000,14.99,22.49,1,22.49,1,0.26417205235
"888","S24954500079","2015-04-08T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1041150,"FLAVORED GINS",370,"Pernod Ricard USA/Austin Nichols",33286,"Seagrams Peach Twisted Gin",12,750,6.49,9.74,4,38.96,3,0.79251615707
